ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,账单图片,关联账单
qj1702087572379109484,2023-12-09 10:04:05,政务,办理,支出,195.0,CNY,支付白,,护照120、港澳60、签注15,,,,哇哈哈哇,不计预算,,
qj1702043257109197186,2023-12-08 21:46:38,日常,充电,支出,1.0,CNY,支付白,,电瓶车,,,,哇哈哈哇,,,
qj1702034943254142289,2023-12-08 19:28:51,日常,洗浴,支出,95.9,CNY,支付白,,被坑了,,,,哇哈哈哇,,,
qj1702028322104123222,2023-12-08 17:38:34,餐饮,晚餐,支出,20.3,CNY,支付白,,大牌冒菜,,,,哇哈哈哇,,,
qj1702002120804158759,2023-12-08 10:21:39,工资,,收入,12503.04,CNY,工资,,,,,,哇哈哈哇,,,
qj1701855799263178735,2023-12-06 17:43:07,餐饮,零食,支出,13.0,CNY,微信余额,,炒栗子,,,,哇哈哈哇,,,
qj1701854997959106362,2023-12-06 17:29:41,餐饮,晚餐,支出,8.0,CNY,支付白,,牛小面,,,,哇哈哈哇,,,
qj1701745452845157648,2023-12-05 11:03:55,套现,,收入,0.11,CNY,支付宝余额,,支付宝红包,,,,哇哈哈哇,,,
qj1701694799076126510,2023-12-04 20:59:42,套现,,收入,0.1,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1701693691602170640,2023-12-04 20:40:57,其它,,转账,25.9,CNY,支付白,微信余额,,,,,哇哈哈哇,,,
qj1701667927041186912,2023-12-04 13:31:53,住房,水费,支出,42.0,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1702551970891118030,2023-12-03 19:05:00,日常,理发,支出,1000.0,CNY,招商,,充值小而美,,,,哇哈哈哇,不计预算,,
qj1701596878258155662,2023-12-03 17:47:48,餐饮,零食,支出,29.7,CNY,支付宝余额,,猪蹄,,,0.3,哇哈哈哇,,,
qj1701596256720106785,2023-12-03 17:37:22,餐饮,零食,支出,14.0,CNY,支付宝余额,,原味鸡,,,,哇哈哈哇,,,
qj1701593196715144092,2023-12-03 16:46:20,服饰,鞋子,支出,17.88,CNY,支付白,,棉拖鞋,,,,哇哈哈哇,,,
qj1701583611062195034,2023-12-03 14:06:39,收益,,收入,5.66,CNY,招商,,,,,,哇哈哈哇,,,
qj1701561983951181472,2023-12-03 08:05:57,餐饮,早餐,支出,4.65,CNY,支付宝余额,,手抓饼,,,1.85,哇哈哈哇,,,
qj1701511542000187326,2023-12-02 18:05:32,餐饮,晚餐,支出,24.0,CNY,微信余额,,饺子,,,,哇哈哈哇,,,
qj1701486787914181671,2023-12-02 11:12:49,餐饮,午餐,支出,14.3,CNY,支付白,,紫燕百味鸡,,,,哇哈哈哇,,,
qj1701432441212181014,2023-12-01 20:06:57,数码,付费会员,支出,45.0,CNY,支付白,,Globe充值,,,,哇哈哈哇,,,
qj1701431894406195339,2023-12-01 19:57:03,娱乐,玩具,支出,11.54,CNY,微信余额,,蜡笔小新小玩偶,,,,哇哈哈哇,,,
qj1701426152302192617,2023-12-01 18:22:24,餐饮,晚餐,支出,30.0,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1701408774602194026,2023-12-01 13:32:42,住房,电费,支出,50.0,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1701392579696184536,2023-12-01 09:02:48,其它,,转账,180.0,CNY,书香卡,招商,,,,,哇哈哈哇,,,
qj1701392542026155809,2023-12-01 09:01:59,套现,,收入,5.0,CNY,苏农社保卡,,优惠券套现,,,,哇哈哈哇,,,
